groupe,code_h,ligne,valeurs
Charge,2.2.4.1.,Autres impôts et taxes,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '238 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.3.,ENERGIE,"{'Réel Annuelle 2022': '223806 €', 'Réel Annuelle 2023': '236163 €', 'Réel Annuelle 2024': '339699 €', 'Budget Annuelle 2025': '273248 €', 'Prévision Annuelle 2025': '269587 €', 'Budget Annuelle 2026': '274429 €'}"
Charge,2.3.1.,EAU : (RSG-REA-YSER-LFP),"{'Réel Annuelle 2022': '151793 €', 'Réel Annuelle 2023': '141184 €', 'Réel Annuelle 2024': '258659 €', 'Budget Annuelle 2025': '172145 €', 'Prévision Annuelle 2025': '172217 €', 'Budget Annuelle 2026': '175308 €'}"
Charge,2.3.2.,EDF : (RSG-REA-LFP),"{'Réel Annuelle 2022': '21558 €', 'Réel Annuelle 2023': '44169 €', 'Réel Annuelle 2024': '20919 €', 'Budget Annuelle 2025': '44260 €', 'Prévision Annuelle 2025': '34400 €', 'Budget Annuelle 2026': '35018 €'}"
Charge,2.3.2.1.,EDF - Parties communes : Réel (50200000),"{'Réel Annuelle 2022': '15216 €', 'Réel Annuelle 2023': '32404 €', 'Réel Annuelle 2024': '15882 €', 'Budget Annuelle 2025': '34545 €', 'Prévision Annuelle 2025': '29237 €', 'Budget Annuelle 2026': '29759 €'}"
Charge,2.3.2.2.,EDF - Parties Privatives,"{'Réel Annuelle 2022': '3807 €', 'Réel Annuelle 2023': '7523 €', 'Réel Annuelle 2024': '3574 €', 'Budget Annuelle 2025': '5153 €', 'Prévision Annuelle 2025': '2248 €', 'Budget Annuelle 2026': '2289 €'}"
Charge,2.3.2.3.,EDF - Ascenseurs,"{'Réel Annuelle 2022': '2535 €', 'Réel Annuelle 2023': '4242 €', 'Réel Annuelle 2024': '1463 €', 'Budget Annuelle 2025': '4562 €', 'Prévision Annuelle 2025': '2915 €', 'Budget Annuelle 2026': '2970 €'}"
Charge,2.3.3.,Chauffage - Gaz,"{'Réel Annuelle 2022': '50456 €', 'Réel Annuelle 2023': '50810 €', 'Réel Annuelle 2024': '60121 €', 'Budget Annuelle 2025': '56843 €', 'Prévision Annuelle 2025': '62970 €', 'Budget Annuelle 2026': '64103 €'}"
Charge,2.4.,CONTRATS DE MAINTENANCE,"{'Réel Annuelle 2022': '42782 €', 'Réel Annuelle 2023': '53107 €', 'Réel Annuelle 2024': '48597 €', 'Budget Annuelle 2025': '93021 €', 'Prévision Annuelle 2025': '67030 €', 'Budget Annuelle 2026': '69291 €'}"
Charge,2.4.1.,Contrat de maintenance LFP,"{'Réel Annuelle 2022': '28043 €', 'Réel Annuelle 2023': '27185 €', 'Réel Annuelle 2024': '33565 €', 'Budget Annuelle 2025': '40486 €', 'Prévision Annuelle 2025': '42927 €', 'Budget Annuelle 2026': '44705 €'}"
Charge,2.4.1.2.,Maintenance - chauffage,"{'Réel Annuelle 2022': '6650 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '2776 €', 'Prévision Annuelle 2025': '3500 €', 'Budget Annuelle 2026': '3500 €'}"
Charge,2.4.1.3.,Maintenance - ascenseurs,"{'Réel Annuelle 2022': '2888 €', 'Réel Annuelle 2023': '4573 €', 'Réel Annuelle 2024': '4664 €', 'Budget Annuelle 2025': '4822 €', 'Prévision Annuelle 2025': '4990 €', 'Budget Annuelle 2026': '5090 €'}"
Charge,2.4.1.5.,Maintenance - parkings,"{'Réel Annuelle 2022': '1351 €', 'Réel Annuelle 2023': '1723 €', 'Réel Annuelle 2024': '1034 €', 'Budget Annuelle 2025': '1077 €', 'Prévision Annuelle 2025': '859 €', 'Budget Annuelle 2026': '866 €'}"
Charge,2.4.1.6.,Maintenance - espaces verts,"{'Réel Annuelle 2022': '3956 €', 'Réel Annuelle 2023': '4152 €', 'Réel Annuelle 2024': '4348 €', 'Budget Annuelle 2025': '5559 €', 'Prévision Annuelle 2025': '5730 €', 'Budget Annuelle 2026': '5845 €'}"
Charge,2.4.1.7.,Maintenance - sécurité,"{'Réel Annuelle 2022': '5932 €', 'Réel Annuelle 2023': '4030 €', 'Réel Annuelle 2024': '7403 €', 'Budget Annuelle 2025': '11263 €', 'Prévision Annuelle 2025': '12862 €', 'Budget Annuelle 2026': '13119 €'}"
Charge,2.4.1.8.,Maintenance - VMC,"{'Réel Annuelle 2022': '1207 €', 'Réel Annuelle 2023': '-127 €', 'Réel Annuelle 2024': '2248 €', 'Budget Annuelle 2025': '640 €', 'Prévision Annuelle 2025': '640 €', 'Budget Annuelle 2026': '1652 €'}"
Charge,2.4.1.9.,Maintenance - contrats divers,"{'Réel Annuelle 2022': '4559 €', 'Réel Annuelle 2023': '11334 €', 'Réel Annuelle 2024': '12368 €', 'Budget Annuelle 2025': '12805 €', 'Prévision Annuelle 2025': '12846 €', 'Budget Annuelle 2026': '13103 €'}"
Charge,2.4.1.13.,Maintenance - toiture,"{'Réel Annuelle 2022': '1500 €', 'Réel Annuelle 2023': '1500 €', 'Réel Annuelle 2024': '1500 €', 'Budget Annuelle 2025': '1545 €', 'Prévision Annuelle 2025': '1500 €', 'Budget Annuelle 2026': '1530 €'}"
Charge,2.4.2.,Autres charges de copropriété,"{'Réel Annuelle 2022': '3091 €', 'Réel Annuelle 2023': '13288 €', 'Réel Annuelle 2024': '3227 €', 'Budget Annuelle 2025': '13496 €', 'Prévision Annuelle 2025': '3507 €', 'Budget Annuelle 2026': '3577 €'}"
Charge,2.4.2.1.,Autres charges - 51000000,"{'Réel Annuelle 2022': '2136 €', 'Réel Annuelle 2023': '12246 €', 'Réel Annuelle 2024': '2114 €', 'Budget Annuelle 2025': '12364 €', 'Prévision Annuelle 2025': '2338 €', 'Budget Annuelle 2026': '2384 €'}"
